Name,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Recharge & bill payments,2018,1,TOTAL,72550406,14472713558.652578
Peer-to-peer payments,2018,1,TOTAL,46982705,147245883542.77402
Merchant payments,2018,1,TOTAL,5368669,4656678915.140091
Financial Services,2018,1,TOTAL,3762820,815853105.1000277
Others,2018,1,TOTAL,5761576,4643217301.269438
Recharge & bill payments,2018,2,TOTAL,92033715,24351225616.36898
Peer-to-peer payments,2018,2,TOTAL,74558816,264767671095.31842
Merchant payments,2018,2,TOTAL,10613941,9052859939.339659
Financial Services,2018,2,TOTAL,5186569,1176991419.239996
Others,2018,2,TOTAL,4973199,5027454207.140578
Peer-to-peer payments,2018,3,TOTAL,202021587,425967421714.0399
Recharge & bill payments,2018,3,TOTAL,102290514,31364311860.394596
Merchant payments,2018,3,TOTAL,25175938,12433150984.830223
Financial Services,2018,3,TOTAL,6218596,891447809.4200314
Others,2018,3,TOTAL,5594554,4449556277.54975
Peer-to-peer payments,2018,4,TOTAL,200235002,594995709377.7327
Recharge & bill payments,2018,4,TOTAL,131917248,39578607327.024284
Merchant payments,2018,4,TOTAL,71498510,30497289208.339787
Financial Services,2018,4,TOTAL,5216165,868584631.5900131
Others,2018,4,TOTAL,8246415,5802659774.449921
Peer-to-peer payments,2019,1,TOTAL,404841331,887893108631.5128
Recharge & bill payments,2019,1,TOTAL,180504739,55473071028.87885
Merchant payments,2019,1,TOTAL,110496541,40575915112.522
Financial Services,2019,1,TOTAL,4627353,603852042.0000324
Others,2019,1,TOTAL,8526177,5484252454.8204155
Peer-to-peer payments,2019,2,TOTAL,384711008,1196425281586.9927
Recharge & bill payments,2019,2,TOTAL,209898072,76865848586.98372
Merchant payments,2019,2,TOTAL,206467182,73415840739.88434
Financial Services,2019,2,TOTAL,2650384,545329308.0899862
Others,2019,2,TOTAL,11656557,6969423863.830339
Peer-to-peer payments,2019,3,TOTAL,461911865,1440512511470.7004
Merchant payments,2019,3,TOTAL,376320628,123209398484.44376
Recharge & bill payments,2019,3,TOTAL,240103872,101520929811.06812
Financial Services,2019,3,TOTAL,2870292,617120839.9299941
Others,2019,3,TOTAL,13804992,6705143103.510092
Peer-to-peer payments,2019,4,TOTAL,703497002,1963952535223.0903
Merchant payments,2019,4,TOTAL,456578271,174239646473.03162
Recharge & bill payments,2019,4,TOTAL,285310032,116344996244.26738
Financial Services,2019,4,TOTAL,2476840,551204225.4200497
Others,2019,4,TOTAL,12583379,4811822509.649999
Peer-to-peer payments,2020,1,TOTAL,693998661,2320557268853.593
Merchant payments,2020,1,TOTAL,566355270,231298042209.83606
Recharge & bill payments,2020,1,TOTAL,351300991,140373550367.1558
Financial Services,2020,1,TOTAL,1358171,773848137.0300016
Others,2020,1,TOTAL,10027019,4116905195.8207293
Peer-to-peer payments,2020,2,TOTAL,631031364,2243915932390.771
Recharge & bill payments,2020,2,TOTAL,448842692,171590686463.15784
Merchant payments,2020,2,TOTAL,363275861,226908226049.51398
Financial Services,2020,2,TOTAL,1682062,1751767444.1000087
Others,2020,2,TOTAL,3779461,1987466180.2098684
Peer-to-peer payments,2020,3,TOTAL,916790263,3287051873253.504
Merchant payments,2020,3,TOTAL,672019839,405291207894.2984
Recharge & bill payments,2020,3,TOTAL,436172619,204262355709.72183
Financial Services,2020,3,TOTAL,2531978,2673063432.9600067
Others,2020,3,TOTAL,5541374,2789907563.6502213
Peer-to-peer payments,2020,4,TOTAL,1249512647,4474548495095.518
Merchant payments,2020,4,TOTAL,1127490136,684873639322.252
Recharge & bill payments,2020,4,TOTAL,479784084,227875840842.1121
Financial Services,2020,4,TOTAL,2942567,3259168195.749941
Others,2020,4,TOTAL,9556404,5323095366.309718
Merchant payments,2021,1,TOTAL,1467948823,844466633896.8679
Peer-to-peer payments,2021,1,TOTAL,1447600942,5170856441552.582
Recharge & bill payments,2021,1,TOTAL,530118545,260182440730.4327
Financial Services,2021,1,TOTAL,3075296,3573884778.5300817
Others,2021,1,TOTAL,8851525,5199901891.8900385
Peer-to-peer payments,2021,2,TOTAL,1744272888,6163165772736.494
Merchant payments,2021,2,TOTAL,1499626469,1003530942287.5988
Recharge & bill payments,2021,2,TOTAL,685024821,300559461295.9022
Financial Services,2021,2,TOTAL,3397384,3651996523.4499955
Others,2021,2,TOTAL,9061732,5598131364.820071
Merchant payments,2021,3,TOTAL,2316924871,1426965558783.5557
Peer-to-peer payments,2021,3,TOTAL,2215575286,7429357587018.912
Recharge & bill payments,2021,3,TOTAL,714583744,349234592690.4992
Financial Services,2021,3,TOTAL,3112160,4043342762.3300233
Others,2021,3,TOTAL,13558464,7146868847.2897215
Merchant payments,2021,4,TOTAL,3152394530,1995855822160.6426
Peer-to-peer payments,2021,4,TOTAL,2716561423,9203910371491.78
Recharge & bill payments,2021,4,TOTAL,738096162,407266894783.10693
Financial Services,2021,4,TOTAL,4141629,5028434834.240034
Others,2021,4,TOTAL,14562602,9296993478.869577
Merchant payments,2022,1,TOTAL,3748851071,2272818129376.5205
Peer-to-peer payments,2022,1,TOTAL,3074250150,10505936803336.926
Recharge & bill payments,2022,1,TOTAL,749674246,447599848131.41187
Financial Services,2022,1,TOTAL,4035100,4921211866.489969
Others,2022,1,TOTAL,16393502,8422766458.459174
Merchant payments,2022,2,TOTAL,4765203787,2847096877386.341
Peer-to-peer payments,2022,2,TOTAL,3506141323,12123524700463.535
Recharge & bill payments,2022,2,TOTAL,845751926,523046092987.93964
Financial Services,2022,2,TOTAL,3272822,3889787479.819907
Others,2022,2,TOTAL,11241480,6711034131.16017
Merchant payments,2022,3,TOTAL,5618132071,3151614767860.314
Peer-to-peer payments,2022,3,TOTAL,3957113406,12837803371386.29
Recharge & bill payments,2022,3,TOTAL,956164949,607048699730.3645
Financial Services,2022,3,TOTAL,3959631,4514223164.469998
Others,2022,3,TOTAL,10005043,6725900102.770244
Merchant payments,2022,4,TOTAL,6565690145,3673601044800.037
Peer-to-peer payments,2022,4,TOTAL,4459859921,14578874324207.227
Recharge & bill payments,2022,4,TOTAL,991049281,649776847580.25
Financial Services,2022,4,TOTAL,4623387,5360528394.309982
Others,2022,4,TOTAL,10013085,7361492606.590162
